City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,champerico,14.3,-91.9167,299.65,84,100,1.89,GT,1697082788
331,kavalerovo,44.2661,135.0572,292.34,48,0,4.47,RU,1697082727
332,zouerate,22.7187,-12.4521,298.86,15,23,3.72,MR,1697082788
333,berezovyy,51.6667,135.7,290.13,44,14,4.38,RU,1697082789
334,bandon,51.7469,-8.7425,283.92,91,100,1.56,IE,1697082789
335,goshogawara,40.8044,140.4414,293.67,56,4,5.76,JP,1697082789
336,jayapura,-2.5333,140.7,305.81,71,81,2.07,ID,1697082614
337,tambura,5.6,27.4667,292.96,90,99,1.12,SS,1697082790
338,christchurch,-43.5333,172.6333,286.99,66,20,7.2,NZ,1697082790
339,chimbote,-9.0853,-78.5783,291.71,88,100,3.82,PE,1697082791
340,mersing,2.4312,103.8405,306.1,70,40,2.06,MY,1697082791
341,whitefish,48.4111,-114.3376,281.76,95,100,1.54,US,1697082791
342,uaua,-9.8414,-39.4817,294.76,72,10,6.1,BR,1697082791
343,fort mcmurray,56.7268,-111.381,283.92,57,0,4.12,CA,1697082282
344,colchani,-20.3,-66.9333,282.12,37,96,4.49,BO,1697082792
345,taroa,8.7058,171.2275,301.41,74,100,4.51,MH,1697082792
346,alaghsas,17.0187,8.0168,301.16,17,90,5.76,NE,1697082793
347,douglas,41.3,-96.167,289.17,81,0,5.14,US,1697082785
348,aioun,16.6614,-9.6149,302.51,51,91,5.3,MR,1697082793
349,cabo san lucas,22.8909,-109.9124,301.27,79,0,4.92,MX,1697082774
350,jianguang,28.1938,115.7836,297.42,55,37,3.25,CN,1697082794
351,lulea,65.5842,22.1547,273.19,93,100,10.29,SE,1697082794
352,paramirim,-13.4425,-42.2389,294.1,74,0,1.85,BR,1697082724
353,tamandare,-8.7597,-35.1047,296.36,85,8,2.45,BR,1697082795
354,akjoujt,19.6969,-14.4164,302.59,14,56,3.82,MR,1697082795
355,bununu,9.8681,9.6628,296.49,72,49,1.32,NG,1697082795
356,alvaraes,-3.2208,-64.8042,301.42,53,60,1.46,BR,1697082796
357,shar'ya,58.3686,45.5144,275.92,75,100,2.68,RU,1697082796
358,kristiansund,63.1115,7.732,281.18,76,75,12.35,NO,1697082796
359,watertown,42.3709,-71.1828,287.66,81,0,1.54,US,1697082713
360,revda,56.801,59.9303,274.77,96,100,3.28,RU,1697082797
361,miguel ahumada,30.6167,-106.5167,297.65,31,0,6.13,MX,1697082797
362,kyshtovka,56.555,76.6271,279.34,69,11,5.08,RU,1697082798
363,bismarck,46.8083,-100.7837,283.06,68,100,6.17,US,1697082629
364,atafu village,-8.5421,-172.5159,301.22,75,81,4.85,TK,1697082725
